rank,symbol,open,high,low,close,volume,price_change_pct,flow_signal,flow_score
1,TATASTEEL,193.0,198.41,191.52,197.6,31293689,1.13,ACCUMULATION,2
2,PFC,415.7,420.4,405.6,414.75,21560718,0.04,ACCUMULATION,2
3,CANBK,148.0,149.58,147.57,148.12,16041047,0.42,ACCUMULATION,2
4,JIOFIN,268.1,271.65,267.5,269.95,15768740,0.73,ACCUMULATION,2
5,ONGC,268.0,270.45,266.0,268.65,15268335,0.64,ACCUMULATION,2
6,TMPV,375.0,375.6,364.3,375.6,14013838,0.04,ACCUMULATION,2
7,RECLTD,382.7,386.5,378.9,381.95,13810435,0.09,ACCUMULATION,2
8,PNB,123.5,124.95,123.17,123.91,10883117,0.21,ACCUMULATION,2
9,SBIN,1068.2,1081.0,1067.5,1072.9,9551567,0.44,ACCUMULATION,2
10,BAJFINANCE,964.0,968.5,953.0,964.65,6020258,0.14,ACCUMULATION,2
